DataYear,BuildingType,PrimaryPropertyType,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFABuilding(s),PropertyGFAParking,ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,Latitude,Longitude,City,State,YearsENERGYSTARCertified,SiteEnergyUse(kBtu),SiteEnergyUse(kBtu)_log1p,PropertyGFATotal_log1p
2016,NonResidential,Senior Care Community,1922,1.0,5,217603,217603,0,"Parking, Senior Care Community",Senior Care Community,296313.0,Parking,0.0,,,47.55837,-122.37751,Seattle,WA,,42792072.0,17.57186343311811,12.290432176147911
2016,NonResidential,Senior Care Community,1970,1.0,2,93397,93397,0,Senior Care Community,Senior Care Community,93397.0,,,,,47.72426,-122.35599,Seattle,WA,,16402563.0,16.61294822203779,11.444625210711436
2016,NonResidential,Hotel,2008,1.0,6,84103,63371,20732,"Hotel, Parking",Hotel,63371.0,Parking,20732.0,,,47.61988,-122.33211,Seattle,WA,,3706100.25,15.125491006015494,11.339809407255666
2016,SPS-District K-12,K-12 School,1948,1.0,2,53352,53352,0,K-12 School,K-12 School,65568.0,,,,,47.5097,-122.37759,Seattle,WA,,0.0,0.0,10.884685487576284
2016,NonResidential,Medical Office,1965,0.0,3,179014,179014,0,Medical Office,Medical Office,179014.0,,,,,47.61244,-122.3214,Seattle,WA,,16701055.0,16.630982508920763,12.095224880194644
2016,NonResidential,Hotel,1908,1.0,7,76631,76631,0,Hotel,Hotel,76631.0,,,,,47.60898,-122.32693,Seattle,WA,,7258758.5,15.797719504432823,11.246770023062728
2016,NonResidential,Mixed Use Property,1983,1.0,6,99780,90439,9341,"Data Center, Medical Office, Non-Refrigerated Warehouse, Office, Other, Parking",Medical Office,40174.0,Parking,20868.0,Office,17020.0,47.60845,-122.32637,Seattle,WA,,15473117.0,16.554614753630283,11.510733063413314
2016,NonResidential,Retail Store,1929,1.0,2,58320,58320,0,Retail Store,Retail Store,72072.0,,,,,47.62237,-122.33805,Seattle,WA,,1049748.625,13.864062241318464,10.97371751331194
2016,NonResidential,Large Office,2010,1.0,5,316306,316306,0,"Office, Other, Parking, Retail Store",Office,261826.0,Parking,150726.0,Other,15139.0,47.62424,-122.33646,Seattle,WA,,13795954.0,16.43988599121853,12.664468539937252
2016,NonResidential,Hotel,1990,1.0,7,282863,238097,44766,"Hotel, Parking",Hotel,235788.0,Parking,51537.0,,,47.62642,-122.33325,Seattle,WA,,19459304.0,16.783835919798648,12.552721495745804
